City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
123,utrik,11.2278,169.8474,27.87,74,28,9.26,MH,1699317228
124,kingston,17.997,-76.7936,28.53,86,20,4.12,JM,1699317206
125,richards bay,-28.783,32.0377,22.82,76,100,7.05,ZA,1699317228
126,tiksi,71.6872,128.8694,-22.64,96,99,3.15,RU,1699317228
127,vilyuchinsk,52.9306,158.4028,-3.85,63,25,3.12,RU,1699317228
128,aasiaat,68.7098,-52.8699,-13.41,82,33,3.71,GL,1699317229
129,saipan,15.1355,145.701,31.39,70,40,5.14,MP,1699317229
130,fort st. john,56.2499,-120.8529,-1.06,100,100,1.54,CA,1699317229
131,kristiansund,63.1115,7.732,5.36,81,100,1.03,NO,1699317229
132,tofol,5.3248,163.0078,27.88,83,100,3.6,FM,1699317230
133,poronaysk,49.2167,143.1167,0.12,96,100,7.84,RU,1699317230
134,vorgashor,67.5833,63.95,0.26,99,100,5.1,RU,1699317230
135,choyr,46.3611,108.3611,-11.95,86,40,7.23,MN,1699317230
136,tazovsky,67.4667,78.7,-14.07,93,100,6.26,RU,1699317230
137,klaksvik,62.2266,-6.589,6.51,82,100,4.8,FO,1699317231
138,kolonia town,6.964,158.206,31.06,79,100,7.2,FM,1699317231
139,leninskoye,41.7589,69.3864,14.62,24,99,1.16,KZ,1699317231
140,queenstown,-31.8976,26.8753,15.95,87,99,1.28,ZA,1699317231
141,saint-philippe,-21.3585,55.7679,20.06,87,57,3.65,RE,1699317231
142,labrador city,52.9463,-66.9114,-8.05,73,40,2.06,CA,1699317148
143,la passe,45.5549,-0.8967,11.1,72,90,5.07,FR,1699317232
144,ariquemes,-9.9133,-63.0408,29.21,57,95,1.32,BR,1699317232
145,sechura,-5.5569,-80.8222,20.94,73,10,8.11,PE,1699317232
146,remire-montjoly,4.9167,-52.2667,28.02,83,0,2.06,GF,1699317232
147,jamestown,42.097,-79.2353,14.84,70,100,5.66,US,1699317233
148,atar,20.5169,-13.0499,22.2,41,96,3.74,MR,1699317233
149,bol,13.4586,14.7147,26.97,37,99,5.97,TD,1699317233
150,papatowai,-46.5619,169.4708,11.14,74,100,3.45,NZ,1699317233
151,katsuura,35.1333,140.3,24.01,86,52,14.89,JP,1699317233
152,beltran,-27.8291,-64.061,29.45,34,2,7.52,AR,1699317234
153,ocean city,39.2776,-74.5746,13.88,83,100,2.68,US,1699317002
154,manicore,-5.8092,-61.3003,23.39,96,100,0.73,BR,1699317234
155,budva,42.2864,18.84,13.14,96,75,0.0,ME,1699317234
156,fort bragg,35.139,-79.006,16.19,65,0,0.0,US,1699317235
157,armacao de buzios,-22.7469,-41.8817,20.84,69,62,3.72,BR,1699317235
158,anadyr,64.75,177.4833,-14.72,77,0,6.0,RU,1699317235
159,puerto ayacucho,5.6639,-67.6236,24.53,94,79,1.76,VE,1699317235
160,port alberni,49.2413,-124.8028,10.06,93,100,0.92,CA,1699317030
161,ulanhot,46.0833,122.0833,-4.27,25,67,0.66,CN,1699317236
162,nchelenge,-9.3451,28.734,21.68,84,100,3.05,ZM,1699317236
163,khandyga,62.6667,135.6,-27.81,89,5,0.49,RU,1699317236
164,xuchang,34.0167,113.8167,11.83,56,0,3.1,CN,1699317236
165,murzuq,25.9155,13.9184,21.48,22,0,2.98,LY,1699317236
166,yemva,62.59,50.8594,2.18,98,100,3.23,RU,1699317237
167,mustafabad,30.8922,73.4989,19.94,30,69,1.94,PK,1699317237
168,baskil,38.5679,38.8238,9.91,67,0,2.66,TR,1699317237
169,hamilton,39.1834,-84.5333,20.98,57,0,4.63,US,1699317237
170,petropavlovsk-kamchatsky,53.0452,158.6483,-4.67,72,0,8.0,RU,1699317063
171,port alfred,-33.5906,26.891,16.77,98,100,2.24,ZA,1699317238
172,lata,40.1629,-8.3327,13.23,86,15,1.42,PT,1699317238
173,tsiombe,-25.3,45.4833,20.87,88,19,2.98,MG,1699317238
174,codrington,-38.2667,141.9667,24.0,40,92,2.55,AU,1699317239
175,kayes,14.0,-11.0,27.89,15,100,1.31,ML,1699317239
176,la gi,10.6667,107.7833,26.64,78,100,1.75,VN,1699317239
177,shahrak,34.1074,64.3052,4.44,88,22,1.98,AF,1699317239
178,kupang,-10.1667,123.5833,30.32,70,20,1.54,ID,1699317240
